"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite1","Addition","Properties","properties","OK","","31-Dec-2020 12_34",
"TestSuite1","Addition","Add - Request","request","OK","","31-Dec-2020 12_34",
"TestSuite1","Addition","Groovy Script","groovy","OK","","31-Dec-2020 12_34",
"TestSuite1","Addition","myProperties","properties","OK","","31-Dec-2020 12_34",
"TestSuite1","Addition","Multiply - Request 1","request","OK","","31-Dec-2020 12_34",
